name,longTitle,shortTitle,lng,lat,description,type,university,professors (from universities),professorCount,scientistCount,doctoralStudentCount,technicianCount,masterStudentCount,Intervention Opportunities,professorships,professors copy,facilities,professorships 2,professorships 3,teaching,teaching copy,universityCourses,researchGroups
hzdr,Helmholtz-Zentrum Dresden-Rossendorf,HZDR,13.9497220,51.0636110,,non-university research organisation,,,,26,8,8,,,,,"dali,ibc,elbe,draco",,,,,,
hzg,Helmholtz-Zentrum Hereon,HZH,10.4225220,53.4108920,,non-university research organisation,,,,2,0,0,,,,,,,,,,,
kit,Karlsruher Institut für Technologie,KIT,8.4301190,49.0968148,,"non-university research organisation,university",,,1,46,7,29,,,,,"kit-atp,cstart,flute,kara,mcf",,"müller-anke-susanne,fuchs-matthias","kit____beschleunigerphysik__vorlesung,kit____hauptseminar:-moderne-teilchenbeschleuniger-und-forschung-mit-photonen__seminar,kit__ss24__advanced-seminar:-accelerators-and-detectors---future-technologies-for-research-and-medicine__seminar,kit__ws23__praktische-übungen-an-kara-zur-beschleunigerphysik__übung","kit______vorlesung, kit______seminar, kit______seminar",,
ptb,Physikalisch-Technische Bundesanstalt,PTB,10.4636110,52.2952780,,non-university research organisation,,,,,,,,,,,,,,,,,
fair,FAIR GmbH,FAIR GmbH,8.6791670,49.9313890,,non-university research organisation,,,,3,1,2,,,,,fair,,,,,,
him,Helmholtz-Institut Mainz,HI Mainz,8.2350083,49.9915834,,non-university research organisation,,,,,,,,,,,,,,,,,
hij,Helmholtz-Institut Jena,HI Jena,11.5807420,50.9345420,,non-university research organisation,,,,,,,,,,,,,,,,,
uni-wuppertal,Bergische Universität Wuppertal,Uni Wuppertal,7.1494440,51.2452780,,university,,,,,,,,,,,,,,,,,
uni-kassel,,Uni Kassel,9.5075620,51.3227740,,university,,,,,,,,,,,,,,,,,
uni-goettingen, Georg-August-Universität Göttingen,Uni Goettingen,9.9344750,51.5418610,,university,,,,,,,,,,,,,hofsäss-hans-christian,,,Masterstudiengang Physik / Physics,
esrf,European Synchrotron Radiation Facility,ESRF,5.6899270,45.2084770,,non-university research organisation,,,,,,,,,,,"esrf,esrf-ebs",,,,,,
cfel,Center for Free-Electron Laser Science,CFEL,9.8850670,53.5790478,,non-university research organisation,,,,,,,,,,,regae,grüner-florian,,,,,
mpik,Max-Planck-Institut für Kernphysik,MPIK,8.7092464,49.3877780,,non-university research organisation,,,,,,,,,,,,,,,,,
mpp,Max-Planck-Institut für Physik,MPP,11.6131800,48.1855000,,non-university research organisation,,,,,,,,,,,,,,,,,
hgf,Helmholtz-Gemeinschaft Deutscher Forschungszentren,Helmholtz-Gemeinschaft,,,,,,,,,,,,,,,athena,,,,,,
mpg,Max-Planck-Gesellschaft zur Förderung der Wissenschaften,Max-Planck-Gesellschaft,,,,,,,,,,,,,,,,,,,,,
fg,Fraunhofer-Gesellschaft zur Förderung der angewandten Forschung e. V.,Fraunhofer-Gesellschaft,,,,,,,,,,,,,,,,,,,,,
fau-erlangen,,,,,,university,,,,,,,,,,,,,,,,,
