id,meta.type,meta.reviewStatus,meta.reviewLog,meta.reviewedBy,meta.parentId,meta.localId,label.fullName.de,label.fullName.en,label.abbreviatedName.de,label.abbreviatedName.en,label.acronym.de,label.acronym.en,description.de,description.en,head,links.homepage.de,links.homepage.en,headLiteral,partOf,meta.organizationalLevel,peopleCount.uniqueProfessors.physicist.female,peopleCount.uniqueProfessors.physicist.male,peopleCount.uniqueProfessors.physicist.other,peopleCount.uniqueProfessors.engineer.female,peopleCount.uniqueProfessors.engineer.male,peopleCount.uniqueProfessors.engineer.other,peopleCount.uniqueProfessors.other.female,peopleCount.uniqueProfessors.other.male,peopleCount.uniqueProfessors.other.other,peopleCount.uniqueSeniorResearchers.physicist.female,peopleCount.uniqueSeniorResearchers.physicist.male,peopleCount.uniqueSeniorResearchers.physicist.other,peopleCount.uniqueSeniorResearchers.engineer.female,peopleCount.uniqueSeniorResearchers.engineer.male,peopleCount.uniqueSeniorResearchers.engineer.other,peopleCount.uniqueSeniorResearchers.other.female,peopleCount.uniqueSeniorResearchers.other.male,peopleCount.uniqueSeniorResearchers.other.other,peopleCount.uniquePostDocs.physicist.female,peopleCount.uniquePostDocs.physicist.male,peopleCount.uniquePostDocs.physicist.other,peopleCount.uniquePostDocs.engineer.female,peopleCount.uniquePostDocs.engineer.male,peopleCount.uniquePostDocs.engineer.other,peopleCount.uniquePostDocs.other.female,peopleCount.uniquePostDocs.other.male,peopleCount.uniquePostDocs.other.other,peopleCount.uniquePhdStudents.physicist.female,peopleCount.uniquePhdStudents.physicist.male,peopleCount.uniquePhdStudents.physicist.other,peopleCount.uniquePhdStudents.engineer.female,peopleCount.uniquePhdStudents.engineer.male,peopleCount.uniquePhdStudents.engineer.other,peopleCount.uniquePhdStudents.other.female,peopleCount.uniquePhdStudents.other.male,peopleCount.uniquePhdStudents.other.other,peopleCount.uniqueMasterStudents.physicist.female,peopleCount.uniqueMasterStudents.physicist.male,peopleCount.uniqueMasterStudents.physicist.other,peopleCount.uniqueMasterStudents.engineer.female,peopleCount.uniqueMasterStudents.engineer.male,peopleCount.uniqueMasterStudents.engineer.other,peopleCount.uniqueMasterStudents.other.female,peopleCount.uniqueMasterStudents.other.male,peopleCount.uniqueMasterStudents.other.other,peopleCount.uniqueBachelorStudents.physicist.female,peopleCount.uniqueBachelorStudents.physicist.male,peopleCount.uniqueBachelorStudents.physicist.other,peopleCount.uniqueBachelorStudents.engineer.female,peopleCount.uniqueBachelorStudents.engineer.male,peopleCount.uniqueBachelorStudents.engineer.other,peopleCount.uniqueBachelorStudents.other.female,peopleCount.uniqueBachelorStudents.other.male,peopleCount.uniqueBachelorStudents.other.other
/kit/division-5/ibpt/ardop2/id/grau,/organization/working-group,02: in prereview,,härer.bastian,/kit/division-5/ibpt/ardop2/id,grau,Team: Grau,Team: Grau,FNKR,FNKR,,,,,,https://www.ibpt.kit.edu/d2_DRD.php,https://www.ibpt.kit.edu/d2_DRD.php,,/kit,05 working group,0,,,0,0,,,,,1,1,1,1,1,1,,,,0,0,0,0,0,0,,,,1,1,1,1,1,1,,,,0,0,0,0,0,0,,,,0,0,0,0,0,0,,,
/kit/division-5/ibpt/ardop2/aac/team-aac,/organization/working-group,02: in prereview,,härer.bastian,/kit/division-5/ibpt/ardop2/aac,team-aac,Team: AAC,Team: NAC,AAC,AAC,,,Advanced Accelerator Concepts ,,,https://www.ibpt.kit.edu/d2_AAC.php,https://www.ibpt.kit.edu/d2_AAC.php,,/kit,05 working group,0,,,0,0,,,,,1,1,1,1,1,1,,,,1,1,1,1,1,1,,,,1,1,1,1,1,1,,,,0,0,0,0,0,0,,,,0,0,0,0,0,0,,,
/kit/division-5/ibpt/ardop2/drd/nasse,/organization/working-group,02: in prereview,,härer.bastian,/kit/division-5/ibpt/ardop2/drd,nasse,Team: Nasse,Team: Nasse,NSS,NSS,,,,,,https://www.ibpt.kit.edu/d2_DRD.php,https://www.ibpt.kit.edu/d2_DRD.php,,/kit,05 working group,0,,,0,0,,,,,1,1,1,1,1,1,,,,0,0,0,0,0,0,,,,1,1,1,1,1,1,,,,0,0,0,0,0,0,,,,0,0,0,0,0,0,,,
/kit/division-5/ibpt/ardop2/drd/niehues,/organization/working-group,02: in prereview,,härer.bastian,/kit/division-5/ibpt/ardop2/drd,niehues,Team: Niehues,Team: Niehues,NHS,NHS,,,,,,https://www.ibpt.kit.edu/d2_DRD.php,https://www.ibpt.kit.edu/d2_DRD.php,,/kit,05 working group,0,,,0,0,,,,,1,1,1,1,1,1,,,,1,1,1,1,1,1,,,,1,1,1,1,1,1,,,,0,0,0,0,0,0,,,,0,0,0,0,0,0,,,
/kit/division-5/ibpt/ardop2/id/saez-de-jauregui,/organization/working-group,02: in prereview,,härer.bastian,/kit/division-5/ibpt/ardop2/id,saez-de-jauregui,Team: Saez de Jauregui,Team: Saez de Jauregui,FNKR,FNKR,,,,,,https://www.ibpt.kit.edu/d2_DRD.php,https://www.ibpt.kit.edu/d2_DRD.php,,/kit,05 working group,0,,,0,0,,,,,1,1,1,1,1,1,,,,0,0,0,0,0,0,,,,1,1,1,1,1,1,,,,0,0,0,0,0,0,,,,0,0,0,0,0,0,,,
/kit/division-5/ibpt/ardop2/drd/steinmann,/organization/working-group,02: in prereview,,härer.bastian,/kit/division-5/ibpt/ardop2/drd,steinmann,Team: Steinmann,Team: Steinmann,STMNN,STMNN,,,,,,https://www.ibpt.kit.edu/d2_DRD.php,https://www.ibpt.kit.edu/d2_DRD.php,,/kit,05 working group,0,,,0,0,,,,,0,0,0,0,0,0,,,,1,1,1,1,1,1,,,,0,0,0,0,0,0,,,,0,0,0,0,0,0,,,,0,0,0,0,0,0,,,
/desy/m/mvs,/organization/working-group,02: in prereview,,leemans.wim,/desy/m,mvs,Gruppe: Vakuumsysteme,Group: Vacuum systems,DESY-MVS,DESY-MVS,,,,,,https://mvs.desy.de/,https://mvs.desy.de/,Lutz Lilje,/desy,05 working group,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
/uni-hamburg/min/physik/experimental-physik/ag-gruener,/organization/formal-organization/sub-department,02: in prereview,,grüner.florian,/uni-hamburg/min/physik/experimental-physik,ag-gruener,Gruppe Grüner,Group Grüner,AG Grüner,AG Grüner,,,,,grüner.florian,,,,/uni-hamburg,03 working group cluster,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
/uni-hamburg/min/physik/experimental-physik/ag-hillert,/organization/working-group,02: in prereview,,hillert.wolfgang,/uni-hamburg/min/physik/experimental-physik,ag-hillert,Gruppe Hillert,Group Hillert,AG Hillert,AG Hillert,,,,,hillert.wolfgang,,,,/uni-hamburg,03 working group cluster,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
/desy/m/mxl,/organization/working-group,02: in prereview,,leemans.wim,/desy/m,mxl,XFEL,XFEL,DESY-MXL,DESY-MXL,,,,,,https://xfel.desy.de/,https://xfel.desy.de/,Winfried Decking,/desy,05 working group,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
