"id","meta.status","meta.reviewedBy","meta.changelog","meta.parentId","meta.localId","meta.organizationalLevel","meta.befideOrganizationCategories","isPartOfCommunity","label.abbreviatedName.de","label.abbreviatedName.en","label.acronym.de","label.acronym.en","label.fullName.de","label.fullName.en","description.de","description.en","links.homepage.de","links.homepage.en","links.rorId","location.country.code","location.city","location.lat","location.lng"
"/tu-darmstadt","01 in preparation","","","","tu-darmstadt","01 formal-organisation","university","true","TU Darmstadt","TU Darmstadt","","","Technische Universität Darmstadt","Technical University of Darmstadt","","","https://www.tu-darmstadt.de/index.de.jsp","https://www.tu-darmstadt.de/index.en.jsp","https://ror.org/05n911h24","DE","Darmstadt","49.871670","8.650270"
"/tu-dortmund","01 in preparation","","","","tu-dortmund","01 formal-organisation","university","true","TU Dortmund","TU Dortmund","","","Technische Universität Dortmund","TU Dortmund University","","","https://www.tu-dortmund.de/en/","https://www.tu-dortmund.de/en/","https://ror.org/01k97gp34","DE","Dortmund","51.514940","7.466000"
"/tu-dresden","01 in preparation","","","","tu-dresden","01 formal-organisation","university","true","TU Dresden","TU Dresden","","","Technische Universität Dresden","Dresden University of Technology","","","https://tu-dresden.de","https://tu-dresden.de/?set_language=en","https://ror.org/042aqky30","DE","Dresden","51.050890","13.738320"
"/uni-bonn","01 in preparation","","","","uni-bonn","01 formal-organisation","university","true","Uni Bonn","Uni Bonn","","","Rheinische Friedrich-Wilhelms-Universität Bonn","University of Bonn","","","https://www.uni-bonn.de/de/","https://www.uni-bonn.de/en/","https://ror.org/041nas322","DE","Bonn","50.734380","7.095490"
"/uni-düsseldorf","01 in preparation","","","","uni-düsseldorf","01 formal-organisation","university","true","HHU","HHU","","","Heinrich-Heine-Universität Düsseldorf","Heinrich Heine University Düsseldorf","","","https://www.hhu.de","http://www.uni-duesseldorf.de/home/en/home.html","https://ror.org/024z2rq82","DE","Düsseldorf","51.221720","6.776160"
"/uni-erlangen","01 in preparation","","","","uni-erlangen","01 formal-organisation","university","true","Uni Erlangen","Uni Erlangen","","","Friedrich-Alexander-Universität Erlangen-Nürnberg","Friedrich-Alexander-University Erlangen-Nürnberg","","","https://www.fau.de/","https://www.fau.eu","https://ror.org/00f7hpc57","DE","Erlangen","49.590990","11.007830"
"/uni-frankfurt","01 in preparation","","","","uni-frankfurt","01 formal-organisation","university","true","Uni Frankfurt","Uni Frankfurt","","","Goethe-Universität Frankfurt am Main","Goethe University Frankfurt","","","https://www.uni-frankfurt.de/de","http://www.goethe-university-frankfurt.de/en","https://ror.org/04cvxnb49","DE","Frankfurt am Main","50.115520","8.684170"
"/uni-goettingen","01 in preparation","","","","uni-goettingen","01 formal-organisation","university","true","Uni Göttingen","Uni Göttingen","","","Georg-August-Universität Göttingen","University of Göttingen","","","http://www.uni-goettingen.de/en/1.html","http://www.uni-goettingen.de/en/1.html","https://ror.org/01y9bpm73","DE","Göttingen","51.534430","9.932280"
"/uni-hamburg","01 in preparation","","","","uni-hamburg","01 formal-organisation","university","true","Uni Hamburg","Uni Hamburg","","","Universität Hamburg","Hamburg University","","","http://www.uni-hamburg.de","https://www.uni-hamburg.de/en.html","https://ror.org/00g30e956","DE","Hamburg","53.550730","9.993020"
"/uni-jena","01 in preparation","","","","uni-jena","01 formal-organisation","university","true","Uni Jerna","Uni Jerna","","","Friedrich-Schiller-Universität Jena","Friedrich Schiller University Jena","","","https://www.uni-jena.de/en","https://www.uni-jena.de/en","https://ror.org/05qpz1x62","DE","Jena","50.928780","11.589900"
"/uni-kassel","01 in preparation","","","","uni-kassel","01 formal-organisation","university","true","Uni Kassel","Uni Kassel","","","Universität Kassel","University of Kassel","","","http://www.uni-kassel.de/uni/","https://www.uni-kassel.de/uni/en/","https://ror.org/04zc7p361","DE","Kassel","51.316670","9.500000"
"/uni-mainz","01 in preparation","","","","uni-mainz","01 formal-organisation","university","true","Uni Mainz","Uni Mainz","","","Johannes Gutenberg-Universität Mainz","Johannes Gutenberg University Mainz","","","https://www.uni-mainz.de","https://www.uni-mainz.de/en/","https://ror.org/023b0x485","DE","Mainz","49.984190","8.279100"
"/uni-rostock","01 in preparation","","","","uni-rostock","01 formal-organisation","university","true","Uni Rostock","Uni Rostock","","","Universität Rostock","University of Rostock","","","http://www.uni-rostock.de/en/","http://www.uni-rostock.de/en/","https://ror.org/03zdwsf69","DE","Rostock","54.088700","12.140490"
"/uni-siegen","01 in preparation","","","","uni-siegen","01 formal-organisation","university","true","Uni Siegen","Uni Siegen","","","Universität Siegen","University of Siegen","","","https://www.uni-siegen.de/start/index.html.en?lang=en","https://www.uni-siegen.de/start/index.html.en?lang=en","https://ror.org/02azyry73","DE","Siegen","50.874810","8.024310"
"/uni-wuppertal","01 in preparation","","","","uni-wuppertal","01 formal-organisation","university","true","Uni Wuppertal","Uni Wuppertal","","","Bergische Universität Wuppertal","University of Wuppertal","","","http://www.uni-wuppertal.de/en/home.html","http://www.uni-wuppertal.de/en/home.html","https://ror.org/00613ak93","DE","Wuppertal","51.256270","7.148160"
"/esrf","01 in preparation","","","","esrf","01 formal-organisation","international","true","ESRF","ESRF","","","European Synchrotron Radiation Facility","European Synchrotron Radiation Facility","","","http://www.esrf.eu/","http://www.esrf.eu/","https://ror.org/02550n020","FR","Grenoble","45.208778","5.690056"
"/ess","01 in preparation","","","","ess","01 formal-organisation","international","true","ESS","ESS","","","Europäische Spallationsquelle","European Spallation Source","","","https://europeanspallationsource.se/","https://europeanspallationsource.se/","https://ror.org/01wv9cn34","SE","Lund","55.708268","13.223475"
"/erc","01 in preparation","","","","erc","01 formal-organisation","","false","ERC","ERC","","","Europäischer Forschungsrat","European Research Council","","","https://erc.europa.eu/homepage?etrans=de","https://erc.europa.eu/homepage","https://ror.org/0472cxd90","BE","Brüssel","50.856433","4.360124"
"/bmbf","01 in preparation","","","","bmbf","01 formal-organisation","funder","false","BMBF","Uni Wuppertal","","","Bundesministerium für Bildung und Forschung","German Federal Ministry Of Education And Research ","","","https://www.bmbf.de/DE","https://www.bmbf.de/EN","https://ror.org/04pz7b180","DE","Bonn","50.863242","7.071315"
"/dfg","01 in preparation","","","","dfg","01 formal-organisation","funder","false","DFG","DFG","","","Deutsche Forschungsgemeinschaft","German Research Foundation","","","https://www.dfg.de","https://www.dfg.de/en","https://ror.org/018mejw64","DE","Bonn ","50.817742","7.159080"
"/ec","01 in preparation","","","","ec","01 formal-organisation","funder","false","EC","EC","","","European Commission ","European Commission ","","","https://commission.europa.eu/index_de","https://commission.europa.eu/index_en","https://ror.org/00k4n6c32","BE","Brüssel","50.845048","4.376485"
