id,meta.status,meta.changelog,meta.id,meta.parent,meta.parentId,meta.localId,label.long-form.de,label.longForm.en,label.shortForm.de,description.de,meta.reviewedBy,meta.organizationalLevel,meta.befideOrganizationCategories,links.homepage.de,links.homepage.en,head,headLiteral,peopleCount.uniqueProfessors,peopleCount.uniqueSeniorResearchers,peopleCount.uniquePostDocs,peopleCount.uniquePhdStudents,peopleCount.uniqueWorkingStudents_MSC,peopleCount.uniqueWorkingStudents_BSC
root.hzdr.strahlenphysik,,,root.hzdr.strahlenphysik,root.hzdr,root.hzdr,strahlenphysik,Institut für Strahlenphysik,,,,schramm.ullrich,03 work group cluster,hgf,https://www.hzdr.de/db/Cms?pNid=132&pLang=de,https://www.hzdr.de/db/Cms?pNid=132&pLang=de,"schramm.ullrich,cowan.thomas",,0,0,0,0,0,0
root.hzdr.strahlenphysik.hibef,,,root.hzdr.strahlenphysik.hibef,root.hzdr.strahlenphysik,root.hzdr.strahlenphysik,hibef,Helmholtz International Beamline für extreme Felder,Helmholtz International Beamline for Extreme Fields,,"Das Ziel des Helmholtz International Beamline for Extreme Fields (HIBEF) Nutzer Konsortiums ist der Aufbau und der Betrieb unterschiedlicher Experimente an der High Energy Density (HED) Beamline des europäischen XFEL (X-Ray Free-Electron Laser) mit weltweit einzigartigen ultrakurzen und extrem lichtstarken Röntgenblitzen. Es ist als internationales Nutzer-Konsortium organisiert, um das höchste wissenschaftliche und technische Niveau der bereitgestellten Ausrüstung zu gewährleisten, die wiederum allen Wissenschaftlern zur Verfügung stehen. Im Fokus des Interesses steht die Physik der Hochenergiedichte, die Plasmaphysik, Geowissenschaft der Planeten, Hochdruckphysik und Physik der starken Felder, Magnetismus und korrelierte Elektronensysteme sowie Dynamik von Materialien.",schramm.ullrich,03 work group cluster,hgf,,,cowan.thomas,,0,0,0,0,0,0
root.hzdr.strahlenphysik.kernphysik,,,root.hzdr.strahlenphysik.kernphysik,root.hzdr.strahlenphysik,root.hzdr.strahlenphysik,kernphysik,Abteilung Kernphysik,,,,schramm.ullrich,03 work group cluster,hgf,https://www.hzdr.de/db/Cms?pNid=212,https://www.hzdr.de/db/Cms?pNid=212,,Dr. Andreas Wagner,0,0,0,0,0,0
root.hzdr.strahlenphysik.laser-teilenchen-beschleunigung,,,root.hzdr.strahlenphysik.laser-teilenchen-beschleunigung,root.hzdr.strahlenphysik,root.hzdr.strahlenphysik,laser-teilenchen-beschleunigung,Abteilung Laser-Teilchenbeschleunigung ,,,,schramm.ullrich,03 work group cluster,hgf,https://www.hzdr.de/db/Cms?pNid=1483,https://www.hzdr.de/db/Cms?pNid=1483,schramm.ullrich,,0,0,0,0,0,0
root.kit.division-5,,,root.kit.division-5,root.kit,root.kit,division-5,Bereich V: Mathematik und Physik,Division V: Physics and Mathematics,Bereich V,,härer.bastian,02 intermediate level,"university,hgf",,,,,-1,-1,-1,-1,-1,-1
root.kit.division-5.ibpt,,,root.kit.division-5.ibpt,root.kit.division-5,root.kit.division-5,ibpt,Institute for Beam Physics and Technology,Institute for Beam Physics and Technology,IBPT,Institute for Beam Physics and Technology,härer.bastian,03 work group cluster,"university,hgf",https://www.ibpt.kit.edu/index.php,https://www.ibpt.kit.edu/index.php,müller.anke-susanne,,1,0,0,0,0,0
root.kit.division-5.ibpt.ardop1,,,root.kit.division-5.ibpt.ardop1,root.kit.division-5.ibpt,root.kit.division-5.ibpt,ardop1,Beschleuniger-Forschung und -Entwicklung + Betrieb I,Accelerator Research and Development + Operations I,ARD+Op1,Accelerator Research and Development + Operations I,härer.bastian,03 work group cluster,"university,hgf",https://www.ibpt.kit.edu/d1.php,https://www.ibpt.kit.edu/d1.php,fuchs.matthias,,1,1,0,0,0,0
root.kit.division-5.ibpt.ardop2,,,root.kit.division-5.ibpt.ardop2,root.kit.division-5.ibpt,root.kit.division-5.ibpt,ardop2,Beschleuniger-Forschung und -Entwicklung + Betrieb II,Accelerator Research and Development + Operations II,ARD+Op2,Accelerator Research and Development + Operations II,härer.bastian,03 work group cluster,"university,hgf",https://www.ibpt.kit.edu/d2.php,https://www.ibpt.kit.edu/d2.php,bründermann.erik,,0,1,0,0,0,0
root.kit.division-5.ibpt.ardop2.drd,,,root.kit.division-5.ibpt.ardop2.drd,root.kit.division-5.ibpt.ardop2,root.kit.division-5.ibpt.ardop2,drd,Diagnose R&D,Diagnosis R&D,DRD,Diagnosis R&D,härer.bastian,03 work group cluster,"university,hgf",https://www.ibpt.kit.edu/d2_DRD.php,https://www.ibpt.kit.edu/d2_DRD.php,,,0,1,0,0,0,0
root.ptb.abt7,02 ready for review,,root.ptb.abt7,root.ptb,root.ptb,abt7,Abteilung 7: Temperatur und Synchrotronstrahlung,Division 7: Temperature and Synchrotron Radiation,Abt. 7,,richter.mathias,02 intermediate level,national,https://www.ptb.de/cms/ptb/fachabteilungen/abt7.html,https://www.ptb.de/cms/en.html,,,0,0,0,0,0,0
root.ptb.abt7.fb7-1,02 ready for review,,root.ptb.abt7.fb7-1,root.ptb.abt7,root.ptb.abt7,fb7-1,Radiometrie mit Synchrotronstrahlung,Radiometry with Synchrotron Radiation,FB 7.1,,richter.mathias,03 work group cluster,national,https://www.ptb.de/cms/ptb/fachabteilungen/abt7/fb-71.html,https://www.ptb.de/cms/en/ptb/fachabteilungen/abt7/fb-71.html,,Dr. Frank Scholze,-1,-1,-1,-1,-1,-1
root.ptb.abt7.fb7-2,01 in preparation,,root.ptb.abt7.fb7-2,root.ptb.abt7,root.ptb.abt7,fb7-2,Röntgenmesstechnik mit Synchrotronstrahlung,X-ray Metrology with Synchrotron Radiation,FB 7.2,,richter.mathias,02 intermediate level,national,https://www.ptb.de/cms/ptb/fachabteilungen/abt7/fb-72.html,https://www.ptb.de/cms/en/ptb/fachabteilungen/abt7/fb-72.html,,Dr. Michael Krumrey,-1,-1,-1,-1,-1,-1
root.tu-darmstadt.fb-etit,02 ready for review,,root.tu-darmstadt.fb-etit,root.tu-darmstadt,root.tu-darmstadt,fb-etit,Fachbereich Elektrotechnik und Informationstechnik,Department of Electrical Engineering and Information Technology ,,,,02 intermediate level,university,https://www.etit.tu-darmstadt.de/fachbereich/index.de.jsp,https://www.ikp.tu-darmstadt.de/das_institut_kernphysik/index.en.jsp,,,-1,-1,-1,-1,-1,-1
root.tu-darmstadt.fb-etit.temf,02 ready for review,,root.tu-darmstadt.fb-etit.temf,root.tu-darmstadt.fb-etit,root.tu-darmstadt.fb-etit,temf,Institut für Teilchenbeschleunigung und Elektromagnetische Felder,Institute for Accelerator Science und Electromagnetic Fields,TEMF,,de-gersem.herbert,03 work group cluster,university,https://www.temf.tu-darmstadt.de/temf/index.de.jsp,,de-gersem.herbert,,-1,-1,-1,-1,-1,-1
root.tu-darmstadt.fb-etit.temf.bp,02 ready for review,,root.tu-darmstadt.fb-etit.temf.bp,root.tu-darmstadt.fb-etit.temf,root.tu-darmstadt.fb-etit.temf,bp,Fachgebiet Beschleunigerphysik,Chair of Electromagnetic Field Theory,BP,,boine-frankenheim.oliver,03 work group cluster,university,https://www.bp.tu-darmstadt.de/fachgebiet_beschleunigerphysik/index.de.jsp,,boine-frankenheim.oliver,,1,-1,-1,-1,-1,-1
root.tu-darmstadt.fb-etit.temf.bt,02 ready for review,,root.tu-darmstadt.fb-etit.temf.bt,root.tu-darmstadt.fb-etit.temf,root.tu-darmstadt.fb-etit.temf,bt,Fachgebiet Beschleunigertechnik,Chair of Electromagnetic Field Theory,BT,,klingbeil.harald,03 work group cluster,university,https://www.bt.tu-darmstadt.de,,klingbeil.harald,,1,0,0,2,0,0
root.tu-darmstadt.fb-etit.temf.emft,02 ready for review,,root.tu-darmstadt.fb-etit.temf.emft,root.tu-darmstadt.fb-etit.temf,root.tu-darmstadt.fb-etit.temf,emft,Fachgebiet für Theorie Elektromagnetischer Felder,Chair of Electromagnetic Field Theory,EMFT,,de-gersem.herbert,03 work group cluster,university,https://www.temf.tu-darmstadt.de/emft/home_emft/index.de.jsp,,de-gersem.herbert,,-1,-1,-1,-1,-1,-1
root.tu-darmstadt.fb-etit.temf.emft.strahldynamik,02 ready for review,,root.tu-darmstadt.fb-etit.temf.emft.strahldynamik,root.tu-darmstadt.fb-etit.temf.emft,root.tu-darmstadt.fb-etit.temf.emft,strahldynamik,Forschungsgruppe Strahldynamik,Research Group Beam Dynamics,EMFT/SD,,de-gersem.herbert,03 work group cluster,university,https://www.temf.tu-darmstadt.de/emft/forschung_emft/forschungsgruppen_emft/arbeitsgruppebeamdynamics.de.jsp,,,Dr. phil. nat. Wolfgang F.O. Müller,-1,-1,-1,-1,-1,-1
root.tu-darmstadt.institut-kernphysik,02 ready for review,,root.tu-darmstadt.institut-kernphysik,root.tu-darmstadt,root.tu-darmstadt,institut-kernphysik,Institut für Kernphysik,Institute for Nuclear Physics ,,,,02 intermediate level,university,https://www.ikp.tu-darmstadt.de/das_institut_kernphysik/index.de.jsp,https://www.ikp.tu-darmstadt.de/das_institut_kernphysik/index.en.jsp,,,-1,-1,-1,-1,-1,-1
root.uni-bonn.pi,,,root.uni-bonn.pi,root.uni-bonn,root.uni-bonn,pi,Physikalisches Institut,Physikalisches Institut,PI,,desch.klaus,02 intermediate level,university,http://www3.uni-bonn.de/the-university,https://www.pi.uni-bonn.de/elsa/en/elsa-1?set_language=en,,,-1,-1,-1,-1,-1,-1
root.uni-bonn.pi.elsa,,,root.uni-bonn.pi.elsa,root.uni-bonn.pi,root.uni-bonn.pi,elsa,Gruppe ELSA,Group ELSA,ELSA,,desch.klaus,03 work group cluster,university,http://www3.uni-bonn.de/the-university,https://www.pi.uni-bonn.de/elsa/en/elsa-1?set_language=en,,,-1,-1,-1,-1,-1,-1
root.uni-düsseldorf.mnf,02 ready for review,,root.uni-düsseldorf.mnf,root.uni-düsseldorf,root.uni-düsseldorf,mnf,Mathematisch-Naturwissenschaftliche Fakultät,Faculty of Mathematics and Natural Sciences consists,Math.-Nat. Fakultät,,hidding.bernhard,02 intermediate level,university,https://www.math-nat-fak.hhu.de,https://www.math-nat-fak.hhu.de/en/,,,-1,-1,-1,-1,-1,-1
root.uni-düsseldorf.mnf.physik,02 ready for review,,root.uni-düsseldorf.mnf.physik,root.uni-düsseldorf.mnf,root.uni-düsseldorf.mnf,physik,Fach Physik,Physics Department,,,hidding.bernhard,02 intermediate level,university,,,,,-1,-1,-1,-1,-1,-1
root.uni-düsseldorf.mnf.physik.ilp,02 ready for review,,root.uni-düsseldorf.mnf.physik.ilp,root.uni-düsseldorf.mnf.physik,root.uni-düsseldorf.mnf.physik,ilp,Institut für Laser- und Plasmaphysik,Institute for Laser and Plasma Physics,ILP,,hidding.bernhard,02 intermediate level,university,,,,,-1,-1,-1,-1,-1,-1
root.uni-düsseldorf.mnf.physik.ilp.hidding,02 ready for review,,root.uni-düsseldorf.mnf.physik.ilp.hidding,root.uni-düsseldorf.mnf.physik.ilp,root.uni-düsseldorf.mnf.physik.ilp,hidding,Gruppe Hidding,Group Hidding,,,hidding.bernhard,03 work group cluster,university,,,,,1,-1,4,2,9,
root.uni-erlangen.physik-department,,,root.uni-erlangen.physik-department,root.uni-erlangen,root.uni-erlangen,physik-department,Department Physik,Department of Physics ,,,hommelhoff.peter,03 work group cluster,university,,,,,0,0,0,0,0,0
root.uni-erlangen.physik-department.laser-physics,,,root.uni-erlangen.physik-department.laser-physics,root.uni-erlangen.physik-department,root.uni-erlangen.physik-department,laser-physics,Lehrstuhl für Laserphysik ,Chair of Laser Physics,FAU,,hommelhoff.peter,03 work group cluster,university,,,hommelhoff.peter,,0,1,0,0,0,0
root.uni-hamburg.min,02 ready for review,,root.uni-hamburg.min,root.uni-hamburg,root.uni-hamburg,min,MIN Fakultät,MIN Faculty,MIN,,,02 intermediate level,university,https://www.physik.uni-hamburg.de/iexp.html,https://www.physik.uni-hamburg.de/iexp.html,,,0,0,0,0,0,0
root.uni-hamburg.min.physik,02 ready for review,,root.uni-hamburg.min.physik,root.uni-hamburg.min,root.uni-hamburg.min,physik,Fachbereich Physik,Department of Physics,Physik,,,02 intermediate level,university,,,,,0,0,0,0,0,0
root.uni-hamburg.min.physik.experimental-physik,02 ready for review,,root.uni-hamburg.min.physik.experimental-physik,root.uni-hamburg.min.physik,root.uni-hamburg.min.physik,experimental-physik,Institut für Experimentalphysik,Institute of Experimental Physics,Physik,,,02 intermediate level,university,,,,,0,0,0,0,0,0
root.uni-hamburg.min.physik.experimental-physik.ag-gruener,02 ready for review,,root.uni-hamburg.min.physik.experimental-physik.ag-gruener,root.uni-hamburg.min.physik.experimental-physik,root.uni-hamburg.min.physik.experimental-physik,ag-gruener,AG Grüner,Working group Grüner,AG Grüner,,grüner.florian,03 work group cluster,university,,,grüner.florian,,0,0,0,0,0,0
root.uni-hamburg.min.physik.experimental-physik.ag-hillert,02 ready for review,,root.uni-hamburg.min.physik.experimental-physik.ag-hillert,root.uni-hamburg.min.physik.experimental-physik,root.uni-hamburg.min.physik.experimental-physik,ag-hillert,AG Hillert,Working group Hillert,AG Hillert,,hillert.wolfgang,03 work group cluster,university,,,hillert.wolfgang,,0,0,0,0,0,0
