"id","meta.status","meta.changelog","meta.id","meta.parent","meta.parentId","meta.localId","label.long-form.de","label.longForm.en","label.shortForm.de","description.de","meta.reviewedBy","meta.organizationalLevel","meta.befideOrganizationCategories","links.homepage.de","links.homepage.en","head","headLiteral","peopleCount.uniqueProfessors","peopleCount.uniqueSeniorResearchers","peopleCount.uniquePostDocs","peopleCount.uniquePhdStudents","peopleCount.uniqueWorkingStudents_MSC","peopleCount.uniqueWorkingStudents_BSC"
"root.desy.m.mpa","02 ready for review",,"root.desy.m.mpa","root.desy.m","root.desy.m","mpa","Plasmabeschleuniger",,"DESY-MPA",,"leemans.wim","05 work group","hgf","https://mpl.desy.de/","https://mpl.desy.de/",,"Andreas Maier","-1","-1","-1","-1","-1","-1"
"root.desy.m.mpc","02 ready for review",,"root.desy.m.mpc","root.desy.m","root.desy.m","mpc","Stromrichter",,"DESY-MPC",,"leemans.wim","05 work group","hgf","https://mpc.desy.de/","https://mpc.desy.de/",,"Hans-Jörg Eckoldt","-1","-1","-1","-1","-1","-1"
"root.desy.m.mpe","02 ready for review",,"root.desy.m.mpe","root.desy.m","root.desy.m","mpe","PETRA III",,"DESY-MPE",,"leemans.wim","05 work group","hgf","https://mpe.desy.de/","https://mpe.desy.de/",,"Rainer Wanzenberg","-1","-1","-1","-1","-1","-1"
"root.desy.m.mps","02 ready for review",,"root.desy.m.mps","root.desy.m","root.desy.m","mps","Personensicherheitssysteme",,"DESY-MPS",,"leemans.wim","05 work group","hgf",,,,"Michael Dressel","-1","-1","-1","-1","-1","-1"
"root.desy.m.mpy","02 ready for review",,"root.desy.m.mpy","root.desy.m","root.desy.m","mpy","Beschleunigerphysik",,"DESY-MPY",,"leemans.wim","05 work group","hgf","https://mpy.desy.de/","https://mpy.desy.de/",,"Stefan Choroba","-1","-1","-1","-1","-1","-1"
"root.desy.m.msk","02 ready for review",,"root.desy.m.msk","root.desy.m","root.desy.m","msk","Strahlkontrollen",,"DESY-MSK",,"leemans.wim","05 work group","hgf","https://msk.desy.de/","https://msk.desy.de/",,"Holger Schlarb","-1","-1","-1","-1","-1","-1"
"root.desy.m.msl","02 ready for review",,"root.desy.m.msl","root.desy.m","root.desy.m","msl","Supraleitende Beschleunigertechnologie",,"DESY-MSL",,"leemans.wim","05 work group","hgf","https://msl.desy.de/","https://msl.desy.de/",,"Hans Weise","-1","-1","-1","-1","-1","-1"
"root.desy.m.mvs","02 ready for review",,"root.desy.m.mvs","root.desy.m","root.desy.m","mvs","Vakuumsysteme",,"DESY-MVS",,"leemans.wim","05 work group","hgf","https://mvs.desy.de/","https://mvs.desy.de/",,"Lutz Lilje","-1","-1","-1","-1","-1","-1"
"root.desy.m.mxl","02 ready for review",,"root.desy.m.mxl","root.desy.m","root.desy.m","mxl","XFEL",,"DESY-MXL",,"leemans.wim","05 work group","hgf","https://xfel.desy.de/","https://xfel.desy.de/",,"Winfried Decking","-1","-1","-1","-1","-1","-1"
"root.desy.mbb","02 ready for review",,"root.desy.mbb","root.desy","root.desy","mbb","Gruppe Beschleunigerbetrieb",,"DESY-MBB",,"leemans.wim","05 work group","hgf","https://mbb.desy.de/","https://mbb.desy.de/",,,"-1","-1","-1","-1","-1","-1"
"root.desy.mcs","02 ready for review",,"root.desy.mcs","root.desy","root.desy","mcs","Gruppe Kontrollsysteme",,"DESY-MCS",,"leemans.wim","05 work group","hgf","https://mcs.desy.de/index_eng.html","https://mcs.desy.de/index_eng.html",,,"-1","-1","-1","-1","-1","-1"
"root.desy.z-beschleunigerphysik.pitz","02 ready for review",,"root.desy.z-beschleunigerphysik.pitz","root.desy.z-beschleunigerphysik","root.desy.z-beschleunigerphysik","pitz","PITZ",,"DESY-ZPITZ",,"leemans.wim","05 work group","hgf","https://pitz.desy.de/","https://pitz.desy.de/",,"Frank Stephan","-1","-1","-1","-1","-1","-1"
"root.gsi.acc.aco.app","01 in preparation",,"root.gsi.acc.aco.app","root.gsi.acc.aco","root.gsi.acc.aco","app","Gruppe Applikationen","Applications Group","ACC/ACO/APP",,"aßmann.ralph","05 work group","hgf","https://www.gsi.de/work/gesamtprojektleitung_fair/commons/control_systems/ap","https://www.gsi.de/work/gesamtprojektleitung_fair/commons/control_systems/ap",,,"-1","-1","-1","-1","-1","-1"
"root.gsi.acc.aco.fec","01 in preparation",,"root.gsi.acc.aco.fec","root.gsi.acc.aco","root.gsi.acc.aco","fec","Gruppe Front-End Control","Front-End Control Group","ACC/ACO/FEC",,"aßmann.ralph","05 work group","hgf","https://www.gsi.de/work/gesamtprojektleitung_fair/commons/control_systems/fe",,,,"-1","-1","-1","-1","-1","-1"
"root.gsi.acc.aco.hel","01 in preparation",,"root.gsi.acc.aco.hel","root.gsi.acc.aco","root.gsi.acc.aco","hel","Gruppe Hardware und Elektronik ","Group Electronics","ACC/ACO/HEL",,"aßmann.ralph","05 work group","hgf","https://www.gsi.de/work/gesamtprojektleitung_fair/commons/control_systems/hw","https://www.gsi.de/en/work/project_management_fair/commons/control-systems/hel-group",,,"-1","-1","-1","-1","-1","-1"
"root.gsi.acc.aco.ind","01 in preparation",,"root.gsi.acc.aco.ind","root.gsi.acc.aco","root.gsi.acc.aco","ind","Gruppe Industrielle Steuerung ","Industrial Controls Group","ACC/ACO/IND",,"aßmann.ralph","05 work group","hgf","https://www.gsi.de/work/gesamtprojektleitung_fair/commons/control_systems/ind","https://www.gsi.de/en/work/project_management_fair/commons/control-systems/ind-group",,,"-1","-1","-1","-1","-1","-1"
"root.gsi.acc.aco.inn","01 in preparation",,"root.gsi.acc.aco.inn","root.gsi.acc.aco","root.gsi.acc.aco","inn","Gruppe Netzwerke und Infrastruktur","Networks and IT-Infrastructure Group","ACC/ACO/INN",,"aßmann.ralph","05 work group","hgf","https://www.gsi.de/work/gesamtprojektleitung_fair/commons/control_systems/in","https://www.gsi.de/en/work/project_management_fair/commons/control_systems/in",,,"-1","-1","-1","-1","-1","-1"
"root.gsi.acc.aco.ser","01 in preparation",,"root.gsi.acc.aco.ser","root.gsi.acc.aco","root.gsi.acc.aco","ser","Gruppe System Services","System Services Group","ACC/ACO/TOS",,"aßmann.ralph","05 work group","hgf","https://www.gsi.de/work/gesamtprojektleitung_fair/commons/control_systems/software-services-group-ser","https://www.gsi.de/en/work/project_management_fair/commons/control-systems/ser-group",,,"-1","-1","-1","-1","-1","-1"
"root.gsi.acc.aco.tos","01 in preparation",,"root.gsi.acc.aco.tos","root.gsi.acc.aco","root.gsi.acc.aco","tos","Gruppe Timing","Timing Group","ACC/ACO/TOS",,"aßmann.ralph","05 work group","hgf","https://www.gsi.de/work/gesamtprojektleitung_fair/commons/control_systems/tg","https://www.gsi.de/en/work/gesamtprojektleitung_fair/commons/control_systems/tg",,,"-1","-1","-1","-1","-1","-1"
"root.gsi.acc.aph","01 in preparation",,"root.gsi.acc.aph","root.gsi.acc","root.gsi.acc","aph","Abteilung Beschleunigerphysik","Department Accelerator physics","ACC/APH",,"aßmann.ralph","05 work group","hgf","https://www.gsi.de/work/gesamtprojektleitung_fair/beschleunigerphysik","https://www.gsi.de/en/work/project_management_fair/accelerator_physics","boine-frankenheim.oliver",,"-1","-1","-1","-1","-1","-1"
"root.gsi.acc.aph.ecr","01 in preparation",,"root.gsi.acc.aph.ecr","root.gsi.acc.aph","root.gsi.acc.aph","ecr","ECR-Gruppe"," ion sources","ACC/IOS/ECR",,"aßmann.ralph","05 work group","hgf","https://www.gsi.de/work/beschleunigerbetrieb/abteilungen/ope/mitarbeiter","https://www.gsi.de/work/beschleunigerbetrieb/abteilungen/ope/mitarbeiter",,,"-1","-1","-1","-1","-1","-1"
"root.gsi.acc.aph.hc","01 in preparation",,"root.gsi.acc.aph.hc","root.gsi.acc.aph","root.gsi.acc.aph","hc","Hochstrom-Gruppe"," ion sources","ACC/IOS/HC",,"aßmann.ralph","05 work group","hgf","https://www.gsi.de/work/beschleunigerbetrieb/abteilungen/ope/mitarbeiter","https://www.gsi.de/work/beschleunigerbetrieb/abteilungen/ope/mitarbeiter",,,"-1","-1","-1","-1","-1","-1"
