id,meta.status,meta.reviewedBy,meta.changelog,meta.parentId,meta.localId,isPartOfCommunity,label.shortForm.de,label.shortForm.en,label.longForm.de,label.longForm.en,description.de,meta.organizationalLevel,meta.befideOrganizationCategories,links.homepage.de,links.homepage.en,links.rorId,location.country.code,location.city,location.lat,location.lng
/tu-dortmund,01 in preparation,,,,tu-dortmund,true,TU Dortmund,TU Dortmund,Technische Universität Dortmund,TU Dortmund University,,01 formal-organisation,university,https://www.tu-dortmund.de/en/,https://www.tu-dortmund.de/en/,https://ror.org/01k97gp34,DE,Dortmund,51.514940,7.466000
/tu-dresden,01 in preparation,,,,tu-dresden,true,TU Dresden,TU Dresden,Technische Universität Dresden,Dresden University of Technology,,01 formal-organisation,university,https://tu-dresden.de,https://tu-dresden.de/?set_language=en,https://ror.org/042aqky30,DE,Dresden,51.050890,13.738320
/uni-bonn,01 in preparation,,,,uni-bonn,true,Uni Bonn,Uni Bonn,Rheinische Friedrich-Wilhelms-Universität Bonn,University of Bonn,,01 formal-organisation,university,https://www.uni-bonn.de/de/,https://www.uni-bonn.de/en/,https://ror.org/041nas322,DE,Bonn,50.734380,7.095490
/uni-düsseldorf,01 in preparation,,,,uni-düsseldorf,true,HHU,HHU,Heinrich-Heine-Universität Düsseldorf,Heinrich Heine University Düsseldorf,,01 formal-organisation,university,https://www.hhu.de,http://www.uni-duesseldorf.de/home/en/home.html,https://ror.org/024z2rq82,DE,Düsseldorf,51.221720,6.776160
/uni-erlangen,01 in preparation,,,,uni-erlangen,true,Uni Erlangen,Uni Erlangen,Friedrich-Alexander-Universität Erlangen-Nürnberg,Friedrich-Alexander-University Erlangen-Nürnberg,,01 formal-organisation,university,https://www.fau.de/,https://www.fau.eu,https://ror.org/00f7hpc57,DE,Erlangen,49.590990,11.007830
/uni-frankfurt,01 in preparation,,,,uni-frankfurt,true,Uni Frankfurt,Uni Frankfurt,Goethe-Universität Frankfurt am Main,Goethe University Frankfurt,,01 formal-organisation,university,https://www.uni-frankfurt.de/de,http://www.goethe-university-frankfurt.de/en,https://ror.org/04cvxnb49,DE,Frankfurt am Main,50.115520,8.684170
/uni-goettingen,01 in preparation,,,,uni-goettingen,true,Uni Göttingen,Uni Göttingen,Georg-August-Universität Göttingen,University of Göttingen,,01 formal-organisation,university,http://www.uni-goettingen.de/en/1.html,http://www.uni-goettingen.de/en/1.html,https://ror.org/01y9bpm73,DE,Göttingen,51.534430,9.932280
/uni-hamburg,01 in preparation,,,,uni-hamburg,true,Uni Hamburg,Uni Hamburg,Universität Hamburg,Hamburg University,,01 formal-organisation,university,http://www.uni-hamburg.de,https://www.uni-hamburg.de/en.html,https://ror.org/00g30e956,DE,Hamburg,53.550730,9.993020
/uni-jena,01 in preparation,,,,uni-jena,true,Uni Jerna,Uni Jerna,Friedrich-Schiller-Universität Jena,Friedrich Schiller University Jena,,01 formal-organisation,university,https://www.uni-jena.de/en,https://www.uni-jena.de/en,https://ror.org/05qpz1x62,DE,Jena,50.928780,11.589900
/uni-kassel,01 in preparation,,,,uni-kassel,true,Uni Kassel,Uni Kassel,Universität Kassel,University of Kassel,,01 formal-organisation,university,http://www.uni-kassel.de/uni/,https://www.uni-kassel.de/uni/en/,https://ror.org/04zc7p361,DE,Kassel,51.316670,9.500000
/uni-mainz,01 in preparation,,,,uni-mainz,true,Uni Mainz,Uni Mainz,Johannes Gutenberg-Universität Mainz,Johannes Gutenberg University Mainz,,01 formal-organisation,university,https://www.uni-mainz.de,https://www.uni-mainz.de/en/,https://ror.org/023b0x485,DE,Mainz,49.984190,8.279100
/uni-rostock,01 in preparation,,,,uni-rostock,true,Uni Rostock,Uni Rostock,Universität Rostock,University of Rostock,,01 formal-organisation,university,http://www.uni-rostock.de/en/,http://www.uni-rostock.de/en/,https://ror.org/03zdwsf69,DE,Rostock,54.088700,12.140490
/uni-siegen,01 in preparation,,,,uni-siegen,true,Uni Siegen,Uni Siegen,Universität Siegen,University of Siegen,,01 formal-organisation,university,https://www.uni-siegen.de/start/index.html.en?lang=en,https://www.uni-siegen.de/start/index.html.en?lang=en,https://ror.org/02azyry73,DE,Siegen,50.874810,8.024310
/uni-wuppertal,01 in preparation,,,,uni-wuppertal,true,Uni Wuppertal,Uni Wuppertal,Bergische Universität Wuppertal,University of Wuppertal,,01 formal-organisation,university,http://www.uni-wuppertal.de/en/home.html,http://www.uni-wuppertal.de/en/home.html,https://ror.org/00613ak93,DE,Wuppertal,51.256270,7.148160
/esrf,01 in preparation,,,,esrf,true,ESRF,ESRF,European Synchrotron Radiation Facility,European Synchrotron Radiation Facility,,01 formal-organisation,international,http://www.esrf.eu/,http://www.esrf.eu/,https://ror.org/02550n020,FR,Grenoble,45.208778,5.690056
/ess,01 in preparation,,,,ess,true,ESS,ESS,Europäische Spallationsquelle,European Spallation Source,,01 formal-organisation,international,https://europeanspallationsource.se/,https://europeanspallationsource.se/,https://ror.org/01wv9cn34,SE,Lund,55.708268,13.223475
