id,meta.reviewStatus,meta.reviewedBy,meta.reviewLog,label.fullName.de,label.fullName.en,label.acronym.de,label.acronym.en,definition.de,definition.en,isPartOf,isSuccessorOf,acceleratorType,facilityType,facilityTypeParticles,lifeCycle,t0,t1,hasHost,location.country.code,isBmbfFis,primaryApplications,secondaryApplications,link.homepage.de,link.homepage.en
/bessy-3,01: in preparation,,,Berliner Elektronenspeicherring für Synchrotronstrahlung III,Berlin electron storage ring for synchrotron radiation III,BESSY III,BESSY III,Geplante Synchrotron-Strahlungsquelle der vierten Generation für weiche Röntgenstrahlung,Geplante Synchrotron-Strahlungsquelle der vierten Generation für weiche Röntgenstrahlung,,/bessy-2__vsr,"/accelerator/synchrotron/,/accelerator/synchrotron/booster-synchrotron",/facility/accelerator-based-facility/photon-source/synchrotron-light-source/4th-generation,electrons,designing,2035,,/hzb,DE,,/accelerator-application/science-application/photon-science,,,
/cac,02: in prereview,,,CERN-Beschleunigerkomplex,CERN Accelerator Complex,Accelerator Complex,Accelerator Complex,,,,,/accelerator/accelerator-complex,,,operation,,,/cern,CH,,"/accelerator-application/science-application/hadron-physics,/accelerator-application/science-application/high-energy-physics",,,
/cac/ad,02: in prereview,,,Antiprotonen-Abbremsanlage,Antiproton Decelerator,AD,AD,"Der Antiprotonen-Entschleuniger am CERN ist eine Anlage zur Erzeugung von niederenergetischen Antiprotonen für die Antimaterieforschung. Er verwendet hochenergetische Antiprotonen aus Protonenkollisionen und bremst sie von knapp unter Lichtgeschwindigkeit auf etwa ein Zehntel der Lichtgeschwindigkeit ab. Diese Abbremsung wird durch den Einsatz starker elektrischer Felder erreicht. Darüber hinaus werden Techniken zur Strahlkühlung eingesetzt, um die Energiespreizung und die Abweichung von der gewünschten Bahn zu verringern. ","The Antiproton Decelerator at CERN is a facility used to produce low-energy antiprotons for antimatter research. It takes high-energy antiprotons from proton collisions and slows them down from just below the speed of light to about one-tenth the speed of light. This deceleration is achieved by using strong electric fields. In addition, beam cooling techniques are employed to reduce the spread in energy and deviation from the desired track. ",/cac,,/accelerator/particle-decelerator,,antiprotons,operation,1999,,/cern,CH,,"/accelerator-application/science-application/hadron-physics,/accelerator-application/science-application/high-energy-physics",,,
/cac/awake,01: in preparation,,,Fortgeschrittenes plasmabasiertes protonengetriebenes Beschleuningungsexperiment ,Advanced proton driven plasma Wakefield Acceleration Experiment ,AWAKE,AWAKE,"Machbarkeitsstudie über die Verwendung von Plasma-Wakefields, die von einem Protonenstrahl angetrieben werden, um geladene Teilchen zu beschleunigen.",Feasibility study on the use of plasma wakefields driven by a proton beam to accelerate charged particles.,/cac,,,,electrons,operation,2016,,/cern,CH,,"/accelerator-application/science-application/hadron-physics,/accelerator-application/science-application/high-energy-physics",,https://home.cern/science/accelerators/awake,
/cac/elena,01: in preparation,,,Extra-Niedrigenergie-Antiprotonen-Ring,Extra Low Energy Antiproton ring,ELENA,ELENA,"ELENA (Extra Low ENergy Antiproton) ist ein 30 m langer sechseckiger Speicherring, der Antiprotonenstrahlen abbremst und an verschiedene Experimente liefert. Er soll den vom Antiproton Decelerator AD kommenden Antiprotonenstrahl für präzisere Messungen auf eine Energie von 0,1 MeV abbremsen.",ELENA (Extra Low ENergy Antiproton) is a 30 m hexagonal storage ring that decelerates antiproton beams and delivers it to different experiments. It is designed to further decelerate the antiproton beam coming from the Antiproton Decelerator AD to an energy of 0.1 MeV for more precise measurements.,/cac,,/accelerator/particle-decelerator,,,operation,2020,,/cern,CH,,"/accelerator-application/science-application/hadron-physics,/accelerator-application/science-application/high-energy-physics",,,
/cac/isolde,01: in preparation,,,Einrichtung zur Erzeugung radioaktiver Ionenstrahlen,Isotope Separator On Line DEvice,ISOLDE,ISOLDE,"Anlage zur Erzeugung radioaktiver Nuklide durch Spallations-, Spaltungs- oder Fragmentierungsreaktionen in einem dicken Target, das mit einem Protonenstrahl mit einer Energie von 1,4 GeV und einer Intensität bis zu 2 Mikroampere bestrahlt wird.","Facility for the production of radioactive nuclides by spallation, fission or fragmentation reactions in a thick target irradiated with a proton beam with an energy of 1.4 GeV and an intensity of up to 2 microamperes.",/cac,,,,,operation,1992,,/cern,CH,checked,"/accelerator-application/science-application/hadron-physics,/accelerator-application/science-application/high-energy-physics",,,
/cac/lhc,02: in prereview,,,Großer Hadronen-Collider,Large Hadron Collider,LHC ,LHC ,,,/cac,,/accelerator/storage-ring/double-storage-ring,/facility/accelerator-based-facility/particle-collider/circular-particle-collider,ions,operation,2021,2024,/cern,CH,checked,"/accelerator-application/science-application/hadron-physics,/accelerator-application/science-application/high-energy-physics",,,
/cac/lhc__run-1,01: in preparation,,,Großer Hadronen-Collider,Large Hadron Collider,LHC Run 1,LHC Run 1,,,/cac,/cac/lhc,/accelerator/storage-ring/double-storage-ring,/facility/accelerator-based-facility/particle-collider/circular-particle-collider,ions,decommissioned,2011,2013,/cern,CH,,"/accelerator-application/science-application/hadron-physics,/accelerator-application/science-application/high-energy-physics",,,
/cac/lhc__run-2,01: in preparation,,,Großer Hadronen-Collider,Large Hadron Collider,LHC Run 2,LHC Run 2,,,/cac,/cac/lhc,/accelerator/storage-ring/double-storage-ring,/facility/accelerator-based-facility/particle-collider/circular-particle-collider,ions,decommissioned,2015,2018,/cern,CH,,"/accelerator-application/science-application/hadron-physics,/accelerator-application/science-application/high-energy-physics",,,
/cac/lhc__run-3,01: in preparation,,,Großer Hadronen-Collider,Large Hadron Collider,LHC Run 3 ,LHC Run 3 ,,,/cac,/cac/lhc,/accelerator/storage-ring/double-storage-ring,/facility/accelerator-based-facility/particle-collider/circular-particle-collider,ions,operation,2021,2026,/cern,CH,checked,"/accelerator-application/science-application/hadron-physics,/accelerator-application/science-application/high-energy-physics",,,
