id,isPartOfCommunity,isInstanceOf,meta.organizationalLevel,meta.reviewStatus,meta.reviewLog,meta.reviewedBy,meta.befideOrganizationCategories,hasTopLevelOrganization,isDirectPartOf,meta.localId,label.fullName.de,label.fullName.en,label.short.de,label.short.en,label.acronym.de,label.acronym.en,description.de,description.en,head,headLiteral,links.homepage.de,links.homepage.en,location.country.code,location.city,location.lat,location.lng,links.rorId,uniquePeopleCount.professor.physicist.female,uniquePeopleCount.seniorResearcher.physicist.female,uniquePeopleCount.postDoc.physicist.female,uniquePeopleCount.phdStudent.physicist.female,uniquePeopleCount.masterStudent.physicist.female,uniquePeopleCount.bachelorStudent.physicist.female,uniquePeopleCount.professor.physicist.male,uniquePeopleCount.professor.physicist.nonbinary,uniquePeopleCount.professor.engineer.female,uniquePeopleCount.professor.other.female,uniquePeopleCount.professor.engineer.male,uniquePeopleCount.professor.other.male,uniquePeopleCount.professor.engineer.nonbinary,uniquePeopleCount.professor.other.nonbinary,uniquePeopleCount.seniorResearcher.other.female,uniquePeopleCount.seniorResearcher.engineer.nonbinary,uniquePeopleCount.seniorResearcher.engineer.male,uniquePeopleCount.seniorResearcher.engineer.female,uniquePeopleCount.seniorResearcher.physicist.nonbinary,uniquePeopleCount.seniorResearcher.physicist.male,uniquePeopleCount.seniorResearcher.other.nonbinary,uniquePeopleCount.seniorResearcher.other.male,uniquePeopleCount.postDoc.other.nonbinary,uniquePeopleCount.postDoc.other.male,uniquePeopleCount.postDoc.other.female,uniquePeopleCount.postDoc.engineer.nonbinary,uniquePeopleCount.postDoc.engineer.male,uniquePeopleCount.postDoc.engineer.female,uniquePeopleCount.postDoc.physicist.nonbinary,uniquePeopleCount.postDoc.physicist.male,uniquePeopleCount.phdStudent.other.nonbinary,uniquePeopleCount.phdStudent.other.male,uniquePeopleCount.phdStudent.other.female,uniquePeopleCount.phdStudent.engineer.nonbinary,uniquePeopleCount.phdStudent.engineer.male,uniquePeopleCount.phdStudent.engineer.female,uniquePeopleCount.phdStudent.physicist.nonbinary,uniquePeopleCount.phdStudent.physicist.male,uniquePeopleCount.masterStudent.other.nonbinary,uniquePeopleCount.masterStudent.other.male,uniquePeopleCount.masterStudent.other.female,uniquePeopleCount.masterStudent.engineer.nonbinary,uniquePeopleCount.masterStudent.engineer.male,uniquePeopleCount.masterStudent.engineer.female,uniquePeopleCount.masterStudent.physicist.nonbinary,uniquePeopleCount.masterStudent.physicist.male,uniquePeopleCount.bachelorStudent.other.nonbinary,uniquePeopleCount.bachelorStudent.other.male,uniquePeopleCount.bachelorStudent.other.female,uniquePeopleCount.bachelorStudent.engineer.male,uniquePeopleCount.bachelorStudent.engineer.nonbinary,uniquePeopleCount.bachelorStudent.engineer.female,uniquePeopleCount.bachelorStudent.physicist.nonbinary,uniquePeopleCount.bachelorStudent.physicist.male,facilities-csv,uniquePeopleCountSum.female,uniquePeopleCountSum.male,uniquePeopleCountSum.nonbinary,uniquePeopleCountSum.physicist,uniquePeopleCountSum.engineer,uniquePeopleCountSum.total,uniquePeopleCountSum.other,courses,uniquePeopleCountSum.professor,uniquePeopleCountSum.seniorResearcher,uniquePeopleCountSum.postDoc,uniquePeopleCountSum.phdStudent,uniquePeopleCountSum.masterStudent,uniquePeopleCountSum.bachelorStudent
:hzdr/radiopharmazeutische-krebsforschung/targetry,true,/organization/working-group,05 working group,01: in preparation,,kopka.klaus,hgf,:hzdr,:hzdr/radiopharmazeutische-krebsforschung,targetry,"Abteilung: Targetry, Target Chemie und Radiopharmazie","Department: Targetry, target chemistry and radiopharmacy",,,,,,,,Dr. Martin Kreller,https://www.hzdr.de/db/Cms?pNid=1778,https://www.hzdr.de/db/Cms?pNid=1778,,,,,,0,0,0,0,0,0,,,0,,0,,,,,0,0,0,0,0,,,,,,0,0,0,0,0,,,,0,0,0,0,0,,,,0,0,0,0,0,,,,0,0,0,0,0,,0,0,0,0,0,0,0,,0,0,0,0,0,0
:hzdr/strahlenphysik,true,/organization/formal-organization/department,03 working group cluster,01: in preparation,,schramm.ullrich,hgf,:hzdr,:hzdr,strahlenphysik,Institut für Strahlenphysik,Institute for Radiation Physics,,,,,,,"schramm.ullrich,cowan.thomas",,https://www.hzdr.de/db/Cms?pNid=132&pLang=de,https://www.hzdr.de/db/Cms?pNid=132&pLang=de,,,,,,0,0,0,0,0,0,0,,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,,0,0,0,0,0,0
:hzdr/strahlenphysik/elbe,true,/organization/working-group,05 working group,01: in preparation,,schramm.ullrich,hgf,:hzdr,:hzdr/strahlenphysik,elbe,Abteilung: Strahlungsquelle ELBE,Department: Radiation Source ELBE,,,,,,,,Dr. Andreas Wagner,https://www.hzdr.de/db/Cms?pNid=145,https://www.hzdr.de/db/Cms?pNid=145,,,,,,0,0,0,0,0,0,,,0,,0,,,,,0,0,0,0,0,,,,,,0,0,0,0,0,,,,0,0,0,0,0,,,,0,0,0,0,0,,,,0,0,0,0,0,,0,0,0,0,0,0,0,,0,0,0,0,0,0
:hzdr/strahlenphysik/hed,true,/organization/working-group,05 working group,01: in preparation,,schramm.ullrich,hgf,:hzdr,:hzdr/strahlenphysik,hed,Abteilung: High Energy Density,Department: High Energy Density,,,,,,,cowan.thomas,,https://www.hzdr.de/db/Cms?pNid=248,https://www.hzdr.de/db/Cms?pNid=248,,,,,,0,2,6,4,0,0,,,0,,0,,,,,2,2,2,2,2,,,,,,6,6,6,6,6,,,,4,4,4,4,4,,,,0,0,0,0,0,,,,0,0,0,0,0,,24,24,0,36,36,72,0,,0,12,36,24,0,0
:hzdr/strahlenphysik/hibef,true,/organization/formal-organization/sub-department,03 working group cluster,01: in preparation,,schramm.ullrich,hgf,:hzdr,:hzdr/strahlenphysik,hibef,Abteilung: Helmholtz International Beamline für extreme Felder,Department: Helmholtz International Beamline for Extreme Fields,,,,,"Das Ziel des Helmholtz International Beamline for Extreme Fields (HIBEF) Nutzerkonsortiums ist es, verschiedene Experimente an der High Energy Density (HED) Beamline des europäischen XFEL (X-Ray Free-Electron Laser) mit weltweit einzigartigen ultrakurzen und extrem hellen Röntgenblitzen aufzubauen und zu betreiben. Sie ist als internationales Nutzerkonsortium organisiert, um das höchste wissenschaftliche und technische Niveau der zur Verfügung gestellten Anlagen zu gewährleisten, die wiederum allen Wissenschaftlern zur Verfügung stehen. Die Forschungsschwerpunkte liegen in den Bereichen Hochenergiedichtephysik, Plasmaphysik, planetare Geowissenschaften, Hochdruckphysik und Physik starker Felder, Magnetismus und korrelierte Elektronensysteme sowie Materialdynamik.","The aim of the Helmholtz International Beamline for Extreme Fields (HIBEF) user consortium is to set up and operate various experiments at the High Energy Density (HED) beamline of the European XFEL (X-Ray Free-Electron Laser) with globally unique ultrashort and extremely bright X-ray flashes. It is organised as an international user consortium to ensure the highest scientific and technical level of the facilities provided, which in turn are available to all scientists. Research focuses on high-energy density physics, plasma physics, planetary geosciences, high-pressure physics and strong field physics, magnetism and correlated electron systems as well as material dynamics.",cowan.thomas,,,,,,,,,0,0,0,0,0,0,0,,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,,0,0,0,0,0,0
:hzdr/strahlenphysik/hibef/bau-und-inbetriebnahme,true,/organization/working-group,05 working group,01: in preparation,,schramm.ullrich,hgf,:hzdr,:hzdr/strahlenphysik/hibef,bau-und-inbetriebnahme,Abteilung: Bau und Inbetriebnahme von HIBEF,Department: Construction and commissioning of HIBEF,,,,,"Das Ziel des Helmholtz International Beamline for Extreme Fields (HIBEF) Nutzer Konsortiums ist der Aufbau und der Betrieb unterschiedlicher Experimente an der High Energy Density (HED) Beamline des europäischen XFEL (X-Ray Free-Electron Laser) mit weltweit einzigartigen ultrakurzen und extrem lichtstarken Röntgenblitzen. Es ist als internationales Nutzer-Konsortium organisiert, um das höchste wissenschaftliche und technische Niveau der bereitgestellten Ausrüstung zu gewährleisten, die wiederum allen Wissenschaftlern zur Verfügung stehen. Im Fokus des Interesses steht die Physik der Hochenergiedichte, die Plasmaphysik, Geowissenschaft der Planeten, Hochdruckphysik und Physik der starken Felder, Magnetismus und korrelierte Elektronensysteme sowie Dynamik von Materialien.","The aim of the Helmholtz International Beamline for Extreme Fields (HIBEF) user consortium is to set up and operate various experiments at the High Energy Density (HED) beamline of the European XFEL (X-Ray Free-Electron Laser) with worldwide unique ultrashort and extremely powerful X-ray flashes. It is organised as an international user consortium to ensure the highest scientific and technical level of the equipment provided, which in turn is available to all scientists. The focus of interest is on the physics of high energy density, plasma physics, planetary geoscience, high pressure physics and strong field physics, magnetism and correlated electron systems as well as the dynamics of materials.",,PD Dr. Toma Toncian,,,,,,,,0,0,0,0,0,0,,,0,,0,,,,,0,0,0,0,0,,,,,,0,0,0,0,0,,,,0,0,0,0,0,,,,0,0,0,0,0,,,,0,0,0,0,0,,0,0,0,0,0,0,0,,0,0,0,0,0,0
:hzdr/strahlenphysik/hibef/hibef-2,true,/organization/working-group,05 working group,01: in preparation,,schramm.ullrich,hgf,:hzdr,:hzdr/strahlenphysik/hibef,hibef-2,Abteilung: HIBEF 2.0,Department: HIBEF 2.0,,,,,,,,,,,,,,,,0,0,0,0,0,0,,,0,,0,,,,,0,0,0,0,0,,,,,,0,0,0,0,0,,,,0,0,0,0,0,,,,0,0,0,0,0,,,,0,0,0,0,0,,0,0,0,0,0,0,0,,0,0,0,0,0,0
:hzdr/strahlenphysik/hibef/laser-systeme,true,/organization/working-group,05 working group,01: in preparation,,schramm.ullrich,hgf,:hzdr,:hzdr/strahlenphysik/hibef,laser-systeme,HIBEF LasersystemeAbteilung: ,Department: HIBEF Laser Systems,,,,,,,,,,,,,,,,0,0,0,0,0,0,,,0,,0,,,,,0,0,0,0,0,,,,,,0,0,0,0,0,,,,0,0,0,0,0,,,,0,0,0,0,0,,,,0,0,0,0,0,,0,0,0,0,0,0,0,,0,0,0,0,0,0
:hzdr/strahlenphysik/hibef/starkfeld-qed,true,/organization/working-group,05 working group,01: in preparation,,schramm.ullrich,hgf,:hzdr,:hzdr/strahlenphysik/hibef,starkfeld-qed,Abteilung: Starkfeld-QED,Department: Strong-field QED,,,,,"Ein typisches Gedankenexperiment ist der Oszillatoreffekt: Wenn ein äußeres elektrisches Feld stark genug ist, um ein virtuelles Teilchen-Antiteilchen-Paar so zu trennen, dass die verrichtete Arbeit der Ruheenergie entspricht, dann wird das Paar aufgrund der Masse-Energie-Äquivalenz real. Materie könnte also aus dem Nichts erzeugt werden.","A typical thought experiment is the oscillator effect: if an external electric field is strong enough to separate a virtual particle-antiparticle pair in such a way that the work performed corresponds to the rest energy, then the pair becomes real due to the mass-energy equivalence. Matter could therefore be created out of nothing.",,Dr. Hans-Peter Schlenvoigt,,,,,,,,0,0,0,0,0,0,,,0,,0,,,,,0,0,0,0,0,,,,,,0,0,0,0,0,,,,0,0,0,0,0,,,,0,0,0,0,0,,,,0,0,0,0,0,,0,0,0,0,0,0,0,,0,0,0,0,0,0
:hzdr/strahlenphysik/kernphysik,true,/organization/formal-organization/sub-department,03 working group cluster,01: in preparation,,schramm.ullrich,hgf,:hzdr,:hzdr/strahlenphysik,kernphysik,Abteilung: Kernphysik,Department of Nuclear Physics,,,,,,,,Dr. Andreas Wagner,https://www.hzdr.de/db/Cms?pNid=212,https://www.hzdr.de/db/Cms?pNid=212,,,,,,0,0,0,0,0,0,0,,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,,0,0,0,0,0,0
